TermID,Término (MCD),Campo,Nombre exacto,Clave definitiva producción (bucket term-audio),URL / storage key definitiva,Bytes,SHA-256 (coincide con manifest),Asociación,Reproducción escritorio,Reproducción móvil,Duración (s),Dispositivo / navegador,Fecha,Incidencia
CON-001,agreement,AudioUS,CON-001_US.mp3,term-audio/CON-001/us.mp3,term-audio/CON-001/us.mp3,17598,734e60c2909dc88cfdfe71650f1c5e078a6d72725ba211f692453ae8bb091d37,PASS,PASS,PASS,1.02,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-002,party,AudioUS,CON-002_US.mp3,term-audio/CON-002/us.mp3,term-audio/CON-002/us.mp3,14254,a124cf045e60439dd3ca0cbe83d9824efa2f4c2c21920b0d37c349b07a103f07,PASS,PASS,PASS,0.84,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-003,contract,AudioUS,CON-003_US.mp3,term-audio/CON-003/us.mp3,term-audio/CON-003/us.mp3,18852,787bb76fd618600de58b26250c990d2dae750adfefc0198bb96f6cd6b9a6116a,PASS,PASS,PASS,1.11,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-004,binding,AudioUS,CON-004_US.mp3,term-audio/CON-004/us.mp3,term-audio/CON-004/us.mp3,15926,80d500ad5030b0f2f64f4843c301d2ae63daad352f1b952441c8a49233fc69b8,PASS,PASS,PASS,0.93,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-005,consideration,AudioUS,CON-005_US.mp3,term-audio/CON-005/us.mp3,term-audio/CON-005/us.mp3,20942,7935fa9c340bdde4e62e12d088ee7909efa305870c18611fa41d6ff2af52e4f6,PASS,PASS,PASS,1.25,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-006,obligation,AudioUS,CON-006_US.mp3,term-audio/CON-006/us.mp3,term-audio/CON-006/us.mp3,19688,2f618bbd40eada0f53c45c2814a4f49aca536b91919285dff0cb81ae9b7c7a28,PASS,PASS,PASS,1.16,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-007,provision,AudioUS,CON-007_US.mp3,term-audio/CON-007/us.mp3,term-audio/CON-007/us.mp3,16762,bc08f42e2c69e0e76a4e224ee2ef7ed2bb08186f11faec71583c7edccc9d3548,PASS,PASS,PASS,0.98,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-008,clause,AudioUS,CON-008_US.mp3,term-audio/CON-008/us.mp3,term-audio/CON-008/us.mp3,15926,56fece101c80923c23522071be9f1bc41faed99a41f83ab044d668c8d777160b,PASS,PASS,PASS,0.93,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-009,assignment,AudioUS,CON-009_US.mp3,term-audio/CON-009/us.mp3,term-audio/CON-009/us.mp3,17598,4f582502a45dfb2fb1adfb373d72f07ae30d61422a1aa6de6ab64d377775dcaa,PASS,PASS,PASS,1.02,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CON-010,breach,AudioUS,CON-010_US.mp3,term-audio/CON-010/us.mp3,term-audio/CON-010/us.mp3,15090,2512b9e0a5210f5ffbacef6310af58c99f84247f11909e1f9d0b5d45093a3caa,PASS,PASS,PASS,0.88,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CORP-001,articles of incorporation,AudioUS,CORP-001_US.mp3,term-audio/CORP-001/us.mp3,term-audio/CORP-001/us.mp3,30137,ea5797f0228cf085049bd25f648c0c7c8cc4a6c220d80cd9896d05b799925aae,PASS,PASS,PASS,1.81,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CORP-002,board of directors,AudioUS,CORP-002_US.mp3,term-audio/CORP-002/us.mp3,term-audio/CORP-002/us.mp3,24285,1d50e9235978568daf9d47d3541ed8506138071fc2774d414af607783ed9293d,PASS,PASS,PASS,1.44,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
CORP-003,bylaws,AudioUS,CORP-003_US.mp3,term-audio/CORP-003/us.mp3,term-audio/CORP-003/us.mp3,18016,ca733bc1ea627856cd5cf36ac375534487e2785322a24d1682513b40abcbf94c,PASS,PASS,PASS,1.07,Escritorio: Chromium (Cursor browser) Linux · Móvil: Chromium emulación iPhone-class 390×844,2026-09-12,
